Date,MSFT,LMT
2016-01-04,47.8745588089891,162.281410684941
2016-01-05,48.0929646429718,166.125138108416
2016-01-06,47.2193413070413,165.64562359816
2016-01-07,45.576929435492,162.342301416402
2016-01-08,45.7167091692409,162.053070441963
2016-01-11,45.690500469163,163.910237751523
2016-01-12,46.1098396704096,165.896797865437
2016-01-13,45.1139090674489,163.187160315423
2016-01-14,46.3981353712667,164.724651284813
2016-01-15,44.5460538990941,164.39736360321
2016-01-19,44.170395864644,163.864569702927
2016-01-20,44.371329231908,160.142623742374
2016-01-21,44.1005059977696,160.439466058247
2016-01-22,45.6817642358037,161.390883737325
2016-01-25,45.2449525678385,160.606915569764
2016-01-26,45.576929435492,159.784890695041
2016-01-27,44.7469872663581,158.209343018488
2016-01-28,45.47646275186,157.295982046574
2016-01-29,48.127909576409,160.599304228332
2016-02-01,47.7959327087554,159.685943256417
2016-02-02,46.3020368043143,160.180680449538
2016-02-03,45.5681932021327,162.060681783395
2016-02-04,45.4284134683839,159.998008255155
2016-02-05,43.8209465302718,161.314770322998
2016-02-08,43.165729028324,163.286107754048
2016-02-09,43.052157994653,164.389752261778
2016-02-10,43.4278160291031,162.844649950955
2016-02-11,43.4103435623845,157.69177180107
2016-02-12,44.1179784644882,156.854524243482
2016-02-16,44.9479206336221,159.077035941807
2016-02-17,46.1180270036107,161.923677637608
2016-02-18,45.915677781733,163.034933486771
2016-02-19,45.5901594682775,162.593475683679
2016-02-22,46.3203762254884,163.651452142813
2016-02-23,45.0271007639221,163.75801092287
2016-02-24,45.185461024522,164.884489454898
2016-02-25,45.836497651433,167.47234554199
2016-02-26,45.1326742709887,166.604652618671
2016-02-29,44.7631669962555,165.49262561491
2016-03-01,46.2587916796996,167.287207124428
2016-03-02,46.584309993155,166.573976011671
2016-03-03,46.0564424578218,167.586304042681
2016-03-04,45.7749131056441,167.739687077682
2016-03-07,44.8951338800888,165.53097137366
2016-03-08,45.4405969999331,165.147513786156
