series,adf_statistic,p_value,used_lags,n_observations,critical_1pct,critical_5pct,critical_10pct,stationary_at_5pct
MSFT adjusted price,0.06366287092550865,0.9634908141028186,9,2503,-3.4329652692893364,-2.8626954126892405,-2.567385070816339,False
MSFT daily return,-17.30814918484769,5.575531358653571e-30,8,2504,-3.4329642237790847,-2.862694950990622,-2.5673848250020415,True
LMT adjusted price,-1.4456551859578988,0.5602034871055768,0,2512,-3.432955889694659,-2.8626912706428715,-2.567382865538409,False
LMT daily return,-17.86127470293299,3.0526290830624835e-30,7,2505,-3.4329631791044304,-2.8626944896608433,-2.5673845793841457,True
