series,adf_statistic,p_value,used_lags,n_observations,critical_1pct,critical_5pct,critical_10pct,stationary_at_5pct
MSFT_ff3_residual,-53.196416,0.0,0,2512,-3.432956,-2.862691,-2.567383,True
LMT_ff3_residual,-17.522414,0.0,8,2504,-3.432964,-2.862695,-2.567385,True
