ticker,alpha,market_beta,smb_loading,hml_loading,r_squared,adj_r_squared,alpha_p_value,market_beta_p_value,smb_p_value,hml_p_value,n_observations
MSFT,0.00030154845453297593,1.1634655208254086,-0.42590945117979145,-0.4647157967720186,0.7191414609334887,0.7188056396432538,0.0913146633509648,0.0,5.907493028067013e-52,7.234207745977959e-113,2513
LMT,0.00011847391870667238,0.5922002902069858,-0.335317726665528,0.29622303632069047,0.23391344671082892,0.23299744046935134,0.6421689668051201,2.4147217106988175e-135,1.9731290327967305e-17,9.029994246371268e-26,2513
