ticker,capm_r_squared,capm_adj_r_squared,ff3_r_squared,ff3_adj_r_squared,r_squared_improvement,adj_r_squared_improvement
MSFT,0.626344,0.626196,0.719141,0.718806,0.092797,0.09261
LMT,0.178762,0.178435,0.233913,0.232997,0.055151,0.054562
