series,mean,std_dev,min,max,skewness,excess_kurtosis,jarque_bera_statistic,jarque_bera_p_value,approximately_normal_at_5pct,observations
MSFT_capm_residual,-0.0,0.010303,-0.073437,0.076534,0.177189,6.742297,4773.040169,0.0,False,2513
LMT_capm_residual,0.0,0.013207,-0.118466,0.100055,-0.274803,12.025059,15172.668331,0.0,False,2513
