series,mean_rolling_beta,median_rolling_beta,min_rolling_beta,max_rolling_beta,std_rolling_beta,first_valid_date,last_valid_date,observations
MSFT_rolling_beta,1.161413,1.133136,0.875141,1.481136,0.142976,2017-01-03,2025-12-31,2262
LMT_rolling_beta,0.466372,0.45546,-0.113026,0.94776,0.282053,2017-01-03,2025-12-31,2262
