Date,MSFT_rolling_beta,LMT_rolling_beta
2019-12-18,1.2407213025697712,0.7146408996175051
2019-12-19,1.2542516424113812,0.7077610583292666
2019-12-20,1.2540185368314558,0.6910240678549746
2019-12-23,1.2475177198494742,0.669520149820383
2019-12-24,1.233118108085601,0.6310669585813434
2019-12-26,1.2183620720903763,0.652045402452606
2019-12-27,1.2196713300548332,0.6413198575376597
2019-12-30,1.2199521443383607,0.6424002635604572
2019-12-31,1.2195432014939611,0.6436136393719278
2020-01-02,1.2233600858170712,0.6515063700419103
2020-01-03,1.2139721891415578,0.616788568780147
2020-01-06,1.2074503186329597,0.6074637771741142
2020-01-07,1.2148891747475843,0.6043872598743587
2020-01-08,1.2207715494168834,0.6016956134949253
2020-01-09,1.2201344232794054,0.6038315861942151
2020-01-10,1.2229738429761732,0.5998353323728873
2020-01-13,1.223423790296181,0.6027434103717912
2020-01-14,1.2237844813440586,0.6042632085391855
2020-01-15,1.21414995772476,0.6130014042155905
2020-01-16,1.217814350199557,0.6174099813397672
2020-01-17,1.219495952109596,0.6090432446532996
2020-01-21,1.2210215195773246,0.6041415107101474
2020-01-22,1.2198393110685002,0.6001292235462562
2020-01-23,1.2194758629759814,0.5995074666247614
2020-01-24,1.2196152539311134,0.589686570077154
2020-01-27,1.2194879964053758,0.5815289441154994
2020-01-28,1.2171796631197747,0.5875781299851379
2020-01-29,1.211761795983889,0.5912195483972885
2020-01-30,1.2022042833653466,0.6026032518795537
2020-01-31,1.2131531984083237,0.6206005278062954
2020-02-03,1.2204871615853998,0.6121721594634275
2020-02-04,1.2246755197958703,0.6078918409707535
2020-02-05,1.2145506860799533,0.610087008219992
2020-02-06,1.2147311085954349,0.6110746390496516
2020-02-07,1.2137829920933925,0.6136278119952648
2020-02-10,1.2205099430133715,0.6117711536101897
2020-02-11,1.2174373675724017,0.6117092767529493
2020-02-12,1.2163711274435478,0.6034530401601377
2020-02-13,1.217726872464036,0.6042350891433976
2020-02-14,1.218320522695044,0.6023914117117313
2020-02-18,1.2183003741918652,0.5943947240250441
2020-02-19,1.216630567942071,0.5925943347388949
2020-02-20,1.2207968036487202,0.5974880835142602
2020-02-21,1.2429380948873288,0.5874870774143973
2020-02-24,1.2456815699795958,0.5880770285188976
2020-02-25,1.207941645573605,0.6392605694622506
2020-02-26,1.203163809597595,0.6380349024533906
2020-02-27,1.2496841931156628,0.6703773419427983
2020-02-28,1.2362860992989715,0.6843876050006188
2020-03-02,1.2623758199786397,0.6878304600251581
2020-03-03,1.28117904229382,0.6740895632012225
2020-03-04,1.2531352118566073,0.7379226554645326
2020-03-05,1.2343294904655446,0.7635719044738345
2020-03-06,1.23874293943827,0.7600038218761541
2020-03-09,1.16964142897167,0.8132712859525044
2020-03-10,1.1852743218857011,0.8191793119057171
2020-03-11,1.1662019330011992,0.801820028156715
2020-03-12,1.132087891396746,0.9123147685210532
2020-03-13,1.198606786509638,0.8652349987024225
2020-03-16,1.2074225554152722,0.9028617287564842
2020-03-17,1.215046743704127,0.9477600832514022
2020-03-18,1.1972650400094902,0.874877112741913
2020-03-19,1.1971486430498532,0.8618254639511544
2020-03-20,1.1902711454008916,0.8826480464472577
2020-03-23,1.1834685652666512,0.8922249755203793
2020-03-24,1.159568705344687,0.8472892558197516
2020-03-25,1.1568004129479772,0.8614619772712788
2020-03-26,1.1504115299871185,0.8909765469255733
2020-03-27,1.1516769053559848,0.8815429485725595
2020-03-30,1.1631107659179405,0.8710569808931612
2020-03-31,1.1641031965659503,0.8734004440478689
2020-04-01,1.1567733586552074,0.8554822981704775
2020-04-02,1.1554870249948301,0.8623764465385992
2020-04-03,1.1543462769996689,0.8617212551919519
2020-04-06,1.1477212400146846,0.8522859946331197
