Date,MSFT_price,LMT_price,MSFT_return,LMT_return,Mkt-RF,SMB,HML,RF,MSFT_excess_return,LMT_excess_return
2016-01-05,48.0929646429718,166.125138108416,0.004562043795622195,0.023685568219131037,0.0013,-0.0018,0.0,0.0,0.004562043795622195,0.023685568219131037
2016-01-06,47.2193413070413,165.64562359816,-0.018165304268847438,-0.0028864656831349977,-0.0134,-0.0013,0.0001,0.0,-0.018165304268847438,-0.0028864656831349977
2016-01-07,45.576929435492,162.342301416402,-0.03478260869565297,-0.019942103570279257,-0.0243999999999999,-0.0029,0.0008,0.0,-0.03478260869565297,-0.019942103570279257
2016-01-08,45.7167091692409,162.053070441963,0.003066896683918685,-0.0017816118899111055,-0.0111,-0.0049,-0.0003,0.0,0.003066896683918685,-0.0017816118899111055
2016-01-11,45.690500469163,163.910237751523,-0.0005732849226062209,0.011460241416561878,-0.0006,-0.0064,0.004,0.0,-0.0005732849226062209,0.011460241416561878
2016-01-12,46.1098396704096,165.896797865437,0.009177820267685988,0.012119804968653058,0.0072,-0.0042,-0.0078,0.0,0.009177820267685988,0.012119804968653058
2016-01-13,45.1139090674489,163.187160315423,-0.021599090564607293,-0.01633327216003211,-0.0266,-0.0073,0.008,0.0,-0.021599090564607293,-0.01633327216003211
2016-01-14,46.3981353712667,164.724651284813,0.028466305189775776,0.009421641791046653,0.0165,0.0002,-0.0040999999999999,0.0,0.028466305189775776,0.009421641791046653
2016-01-15,44.5460538990941,164.39736360321,-0.03991715307851684,-0.0019868773680820073,-0.0213,0.004,-0.0022,0.0,-0.03991715307851684,-0.0019868773680820073
2016-01-19,44.170395864644,163.864569702927,-0.008433026083545792,-0.0032408907819772015,-0.0019,-0.0133,-0.0007,0.0,-0.008433026083545792,-0.0032408907819772015
2016-01-20,44.371329231908,160.142623742374,0.004549050632911333,-0.022713549166244906,-0.0093999999999999,0.0187,-0.0126,0.0,0.004549050632911333,-0.022713549166244906
2016-01-21,44.1005059977696,160.439466058247,-0.006103563693639513,0.0018536121673049522,0.0045,-0.0052,-0.0001,0.0,-0.006103563693639513,0.0018536121673049522
2016-01-22,45.6817642358037,161.390883737325,0.035855784469095875,0.0059300725840896185,0.0208,0.0021,-0.0019,0.0,0.035855784469095875,0.0059300725840896185
2016-01-25,45.2449525678385,160.606915569764,-0.009562057754828102,-0.004857574042638979,-0.017,-0.0039,-0.0098,0.0,-0.009562057754828102,-0.004857574042638979
2016-01-26,45.576929435492,159.784890695041,0.007337323807683038,-0.0051182408416649006,0.0152,0.0040999999999999,0.0118,0.0,0.007337323807683038,-0.0051182408416649006
2016-01-27,44.7469872663581,158.209343018488,-0.018209699060762086,-0.009860429667033044,-0.0111,-0.0056,0.017,0.0,-0.018209699060762086,-0.009860429667033044
2016-01-28,45.47646275186,157.295982046574,0.016302225693087813,-0.005773116520730759,0.0049,-0.0046,0.0126,0.0,0.016302225693087813,-0.005773116520730759
2016-01-29,48.127909576409,160.599304228332,0.058303717222170315,0.02100067744120704,0.0256999999999999,0.0048,0.0042,0.0,0.058303717222170315,0.02100067744120704
2016-02-01,47.7959327087554,159.685943256417,-0.0068978035941192894,-0.005687203791471029,-0.0004,-0.0019,-0.01,0.0,-0.0068978035941192894,-0.005687203791471029
2016-02-02,46.3020368043143,160.180680449538,-0.031255711935661123,0.0030981887511949413,-0.02,-0.0003,-0.0036,0.0,-0.031255711935661123,0.0030981887511949413
2016-02-03,45.5681932021327,162.060681783395,-0.015849056603773892,0.011736754573528518,0.0046,-0.0033,0.0045,0.0,-0.015849056603773892,0.011736754573528518
2016-02-04,45.4284134683839,159.998008255155,-0.003067484662575004,-0.0127277850835954,0.0027,0.0011,0.0034999999999999,0.0,-0.003067484662575004,-0.0127277850835954
2016-02-05,43.8209465302718,161.314770322998,-0.03538461538461668,0.008229865372718193,-0.0206,-0.0106,0.0163,0.0,-0.03538461538461668,0.008229865372718193
2016-02-08,43.165729028324,163.286107754048,-0.014952153110046718,0.012220439747103296,-0.0151,-0.0001,0.0081999999999999,0.0,-0.014952153110046718,0.012220439747103296
2016-02-09,43.052157994653,164.389752261778,-0.0026310463468942613,0.006758961450611389,-0.0008,-0.0046999999999999,-0.0029,0.0,-0.0026310463468942613,0.006758961450611389
2016-02-10,43.4278160291031,162.844649950955,0.008725649350649345,-0.009399018427636241,0.0001,-0.0005,-0.0055,0.0,0.008725649350649345,-0.009399018427636241
2016-02-11,43.4103435623845,157.69177180107,-0.00040233353449992126,-0.031642907221311356,-0.0116999999999999,0.0051,-0.0147,0.0,-0.00040233353449992126,-0.031642907221311356
2016-02-12,44.1179784644882,156.854524243482,0.016301066613001458,-0.005309392798529822,0.0197999999999999,-0.0052,0.0108,0.0,0.016301066613001458,-0.005309392798529822
2016-02-16,44.9479206336221,159.077035941807,0.01881188118811794,0.014169254658380481,0.0178,0.0052,-0.0052,0.0,0.01881188118811794,0.014169254658380481
2016-02-17,46.1180270036107,161.923677637608,0.026032491681346803,0.01789473684210674,0.0174,-0.0006,-0.0065,0.0,0.026032491681346803,0.01789473684210674
2016-02-18,45.915677781733,163.034933486771,-0.0043876383059894275,0.006862837266147226,-0.0051,0.0,0.0022,0.0,-0.0043876383059894275,0.006862837266147226
2016-02-19,45.5901594682775,162.593475683679,-0.00708948074343807,-0.0027077497665726202,0.0006,0.0042,-0.0058,0.0,-0.00708948074343807,-0.0027077497665726202
